	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size	others_app_size	others_app_number	others_text_size	others_text_number
10	742228.0	1090429.0	174780.0	152919.5	182.0	0.0	0.0	135.5	76.5	5.0	34.0	1.0	0.0	0.0	21.7845	1.60462643628	82.0	36.5	252.0	2160538.5	380033.0	11.0	287945.0	7.0
11	1140425.5	1407515.0	353696.5	160919.0	182.0	0.0	0.0	175.0	104.0	7.5	66.5	1.0	0.0	0.0	16.7185	1.67431323533	124.0	58.0	354.0	3062738.0	373395.5	9.5	211616.0	20.0
12	137387.0	285906.0	10437.0	21862.5	12758.0	0.0	0.0	9.0	14.0	1.0	2.0	4.0	0.0	0.0	2.0535	0.324573011817	18.0	12.0	30.0	468350.5	57785.0	3.0	0.0	2.0
13	1404439.0	978928.0	158857.0	180937.5	3915.0	0.0	0.0	70.0	51.0	5.0	20.0	3.0	0.0	0.0	6.1485	0.904958474185	68.0	30.0	149.0	2727076.5	452926.5	17.0	0.0	1.5
14	2093641.5	643705.0	24550.5	46872.5	14951.0	0.0	0.0	86.5	27.5	1.5	12.0	22.0	0.0	0.0	8.654	1.83028478932	26.0	9.0	149.5	2823720.5	797622.5	16.5	1736.0	2.0
15	281469.5	1853391.5	16547.5	167484.5	5466.0	0.0	0.0	101.0	81.0	6.0	46.0	1.0	0.0	0.0	12.8025	1.07855800029	104.5	59.0	235.0	2324359.0	645118.0	16.5	49426.0	5.0
16	183731.5	946059.0	26059.0	141426.5	7862.0	0.0	0.0	78.0	50.0	1.0	71.0	2.0	0.0	0.0	7.34	2.27257453123	80.0	45.5	202.0	1305138.0	390410.0	15.0	0.0	1.0
17	3130479.5	494040.0	187702.0	90568.0	0.0	0.0	0.0	214.0	30.0	17.0	7.0	0.0	0.0	0.0	7.566	3.04338246693	19.0	10.0	268.0	3902789.5	403697.5	7.0	58.0	1.0
18	784340.0	605751.5	29767.0	48912.0	0.0	0.0	0.0	100.0	65.0	1.0	46.5	0.0	0.0	0.0	13.161	2.80678279352	88.0	45.0	212.5	1468770.5	418360.0	13.0	130769.5	9.0
19	306400.0	1079336.0	309434.0	91401.0	0.0	0.0	0.0	157.0	107.0	4.0	62.0	0.0	0.0	0.0	14.583	5.42283904961	133.0	68.0	330.0	1786571.0	370744.0	10.0	397357.0	28.0
20	88545.0	326400.0	154027.0	1773.0	26564.0	0.0	0.0	22.0	11.0	4.0	5.0	20.0	0.0	0.0	2.463	0.175650932249	9.0	6.0	62.0	597309.0	72305.5	5.0	0.0	0.0
21	144161.0	164963.0	39974.0	16998.5	1390.0	0.0	0.0	12.0	6.0	2.0	11.0	2.0	0.0	0.0	4.556	0.823145971259	13.0	6.0	33.0	367486.5	380894.0	7.0	0.0	0.0
22	4259133.0	1188887.5	115020.0	180730.0	0.0	0.0	0.0	141.0	86.0	10.0	54.0	0.0	0.0	0.0	11.149	1.40446205597	104.0	50.5	291.0	5743770.5	376280.0	10.5	11.0	4.5
23	251937.5	598701.5	156382.0	66818.0	0.0	0.0	0.0	45.0	34.0	2.0	11.0	0.0	0.0	0.0	4.9565	1.36012828807	39.0	15.0	92.0	1073839.0	372187.0	5.0	0.0	0.0
24	1796383.5	382021.0	26450.0	18555.0	243553.0	0.0	0.0	40.0	16.0	3.0	2.0	6.0	0.0	0.0	1.769	0.408214698412	11.0	8.0	67.0	2466962.5	493992.0	7.5	0.0	0.0
25	334193.5	1347320.0	59489.0	176137.5	576.0	0.0	0.0	109.5	89.0	2.0	59.5	3.0	0.0	0.0	13.2125	2.63317536256	104.0	60.0	263.0	1917716.0	849150.0	24.5	149056.5	6.5
26	946997.5	345345.0	83972.0	98780.0	0.0	0.0	0.0	69.0	20.5	6.0	13.5	0.0	0.0	0.0	3.077	0.417676477671	18.0	6.0	109.0	1475094.5	424673.0	4.0	0.0	0.0
27	1195927.0	1097705.0	45718.0	91089.0	615.0	0.0	0.0	157.0	77.0	46.0	46.0	2.0	0.0	0.0	16.143	0.0	93.0	59.0	328.0	2431054.0	596583.0	14.0	0.0	6.0
29	939212.0	418876.0	71016.0	79050.5	0.0	0.0	0.0	122.0	22.0	2.0	42.0	0.0	0.0	0.0	9.501	0.641696470304	77.5	50.0	188.0	1508154.5	556842.5	17.0	0.0	1.0
30	108120.0	801192.0	773170.0	69135.0	577.0	0.0	0.0	17.0	35.0	4.0	9.0	1.0	0.0	0.0	5.741	4.27656346264	40.0	19.0	66.0	1752194.0	373082.0	9.0	0.0	4.0
31	24646194.0	224371.0	40070.0	9078.5	0.0	0.0	0.0	26.0	7.0	11.0	4.0	0.0	0.0	0.0	3.618	0.991284928767	6.5	3.0	48.0	24919713.5	3033.0	2.0	173848.0	3.0
32	3087992.0	1097419.0	37863.0	120592.0	0.0	0.0	0.0	177.0	28.0	2.0	12.0	0.0	0.0	0.0	10.499	0.864198165432	25.0	12.0	219.0	4343866.0	428934.0	6.0	0.0	0.0
33	5946729.0	1037893.0	222021.0	114428.0	182.0	0.0	0.0	107.0	55.0	8.0	54.0	1.0	0.0	0.0	19.879	0.0	72.0	37.0	225.0	7321253.0	651949.0	12.0	148782.0	10.0
34	2055031.0	1402957.0	124369.0	155804.5	7298.0	0.0	0.0	106.0	51.0	5.0	56.0	1.0	0.0	0.0	10.659	1.40975324437	75.0	45.0	219.0	3745459.5	522577.5	14.5	0.0	1.0
35	329557.0	1805488.0	83677.0	143184.0	182.0	0.0	0.0	111.0	92.0	16.0	42.0	1.0	0.0	0.0	13.484	2.05735222382	105.0	58.0	262.0	2362088.0	379675.0	12.0	60.0	4.0
36	92965.0	75899.0	48227.0	17180.5	0.0	0.0	0.0	13.0	8.0	2.0	2.0	0.0	0.0	0.0	2.9835	0.815315920365	9.0	6.0	25.0	234271.5	260726.5	13.5	0.0	0.0
