	red_number_frac	red_time_frac
0	0.146666666667	0.25085962937
1	0.184931506849	0.236433055656
2	0.151797815515	0.225417463684
3	0.140445708867	0.182921085362
4	0.0816722437772	0.297981975168
5	0.0324773192859	0.0513763700201
6	0.0719073152049	0.143374582226
7	0.0909090909091	0.215962483405
8	0.108722419228	0.168186899298
9	0.108910891089	0.19945568045
10	0.146460281292	0.155002402812
11	0.0444444444444	0.0387463447496
12	0.0894522973785	0.13583510394
13	0.0517649924705	0.048861405897
14	0.228310502283	0.27323643869
15	0.136906635195	0.191718735457
16	0.119217867232	0.180267503794
17	0.107279693487	0.159623006959
18	0.0641884307416	0.0936142479543
19	0.0833345290193	0.127307014779
20	0.121426444312	0.182817967048
21	0.120905666557	0.194007186011
22	0.108352696588	0.311495118101
23	0.0824528301887	0.0694443704151
24	0.0352941176471	0.0480363796823
25	0.0377621979024	0.0366772133987
26	0.0652962728105	0.116848427596
27	0.0514705882353	0.0272721844608
28	0.0104207005809	0.0813829655197
29	0.142284883389	0.177088743667
30	0.0741758241758	0.0121557616212
31	0.144876169316	0.20295719399
0	0.0199502487562	0.039758120116
1	0.0214491086832	0.0032539654974
2	0.0888971931573	0.0980133596781
3	0.159624413146	0.194514407568
4	0.0604229607251	0.0473452986359
5	0.0705329949239	0.0448029122928
6	0.0521739130435	0.0143530352175
7	0.0	0.0
8	0.114864864865	0.321308459072
9	0.0246857717446	0.0112005437046
10	0.0678855802792	0.0410755059104
11	0.0444444444444	0.0930854188697
12	0.0418733586227	0.0593613485697
13	0.140845070423	0.157398551715
14	0.111740793879	0.107501165872
15	0.0	0.0
16	0.319427328742	0.085666745943
17	0.200332943507	0.34237058815
18	0.156351791531	0.349795707629
19	0.0654314527638	0.0719257765452
20	0.0193349523632	0.00828051303054
21	0.195439739414	0.368678841819
22	0.0167364016736	0.071200814252
23	0.11214953271	0.118916451307
24	0.0991743063566	0.416619191658
25	0.20324017199	0.211333626381
26	0.0215634989829	0.00238068808222
27	0.0914778797921	0.105130774498
28	0.196961904412	0.284841580327
29	0.0	0.0
30	0.037037037037	0.0329248785554
31	0.251644509167	0.602869694417
32	0.0375	0.0674365609671
33	0.0207612456747	0.146782915793
0	0.0570175438596	0.0509968003938
1	0.0116618075802	0.0303283931433
