0.73,6.07
14.398,18.873
7.63,5.791
11.861,14.539
14.916,0.83
16.311,15.532
1.391,1.045
16.06,5.835
5.373,5.796
5.309,5.18
22.071,23.326
16.82,9.946
2.096,2.494
6.253,4.768
8.713,7.814
12.885,10.572
7.684,5.383
8.118,3.744
13.188,5.875
14.583,8.903
2.466,3.499
4.59,6.116
11.768,10.672
5.085,6.615
1.785,3.042
13.274,23.446
3.099,3.268
9.554,7.544
5.96,12.376
3.657,5.008
10.499,10.581
11.144,7.834
13.484,8.487
3.077,3.659
2.944,3.378
7.41,10.598
5.653,7.755
2.2,3.102
2.948,5.244
7.773,7.041
4.723,6.671
9.842,9.717
2.784,3.974
5.422,7.509
15.212,19.358
5.366,6.079
4.053,10.657
5.214,6.719
11.704,8.71
3.703,3.132
6.075,6.124
13.174,12.376
9.654,11.646
15.397,17.324
7.83,9.187
4.432,5.295
19.034,18.004
7.733,6.585
7.822,7.225
9.156,11.578
2.198,4.505
6.073,8.347
2.467,5.255
20.05,16.265
13.354,13.893
28.094,20.844
3.977,5.45
14.078,14.308
7.612,8.939
16.345,15.658
7.281,10.998
6.423,5.192
0.197,0.452
5.588,6.402
0.177,0.367
23.26,5.74
4.09,5.052
9.489,14.008
12.45,16.283
6.626,9.178
4.644,4.464
9.797,11.977
3.153,4.659
3.86,4.327
7.739,8.103
2.02,3.445
4.478,5.524
7.052,4.34
5.459,4.673
8.473,7.857
7.834,8.078
4.411,4.698
2.612,3.741
4.964,5.326
12.66,13.451
3.588,3.139
5.773,5.628
14.023,7.374
10.344,6.686
15.136,8.598
27.567,21.708
20.147,11.364
12.449,8.968
9.937,4.616
5.341,2.549
28.136,8.176
11.525,7.021
13.355,7.787
15.09,5.184
16.326,8.341
17.973,11.657
15.923,8.389
2.699,2.466
10.481,6.245
22.246,6.407
22.876,10.6
16.83,7.96
5.746,3.324
22.434,8.108
11.183,5.745
6.708,2.571
16.046,5.301
24.81,16.574
12.297,5.203
13.012,4.545
27.489,0.42
0.678,0.591
3.027,1.713
29.101,17.452
15.266,6.63
6.548,4.765
5.878,5.765
12.377,8.16
7.62,7.643
8.053,7.084
9.13,7.099
12.608,8.277
10.334,6.4
10.488,9.228
15.298,14.843
15.626,10.992
10.063,9.071
3.624,1.53
16.317,13.448
11.496,14.599
6.511,5.995
17.286,14.301
7.268,6.764
16.16,11.778
8.776,11.365
8.132,13.69
7.52,8.284
6.186,7.261
4.936,11.377
13.494,10.137
22.795,20.169
7.403,8.241
5.217,3.499
9.676,10.509
7.828,9.749
15.546,15.624
1.196,3.713
15.216,14.288
5.188,6.136
7.46,7.376
11.752,1.733
3.293,4.978
20.934,12.441
15.444,28.074
10.148,14.967
0.309,1.964
10.46,7.212
9.22,11.137
8.355,11.226
8.9,11.428
2.948,2.045
7.299,10.386
10.478,4.845
9.508,11.555
21.585,24.158
9.718,7.689
14.337,12.088
25.2,13.932
7.354,13.814
5.751,4.527
9.788,12.137
6.695,5.152
12.053,13.583
13.124,18.164
15.599,14.258
8.164,5.041
6.324,10.208
6.73,7.136
26.536,19.834
4.816,10.338
4.653,15.769
3.405,8.935
8.962,16.44
0.087,0.286
5.239,7.488
0.072,0.277
4.323,11.737
5.299,9.633
0.088,0.58
8.369,13.238
6.732,12.413
0.133,0.931
23.407,29.899
15.578,27.351
0.073,0.272
7.835,11.611
26.757,29.408
8.283,10.541
6.919,7.919
0.082,0.297
8.175,12.784
0.079,0.307
0.14,0.1
17.005,24.009
0.071,0.289
4.955,6.053
0.072,0.439
15.901,26.107
0.134,0.123
